alias	alias_group	source
are riding	riding	visual_genome_relationship_alias
is riding the	riding	visual_genome_relationship_alias
riding an	riding	visual_genome_relationship_alias
is riding	riding	visual_genome_relationship_alias
are riding an	riding	visual_genome_relationship_alias
a riding	riding	visual_genome_relationship_alias
is riding a	riding	visual_genome_relationship_alias
surfs	surfs	visual_genome_relationship_alias
surfs a	surfs	visual_genome_relationship_alias
and woman standing on	and woman standing on	visual_genome_relationship_alias
and woman standing on a	and woman standing on	visual_genome_relationship_alias
pocket on	pocket on	visual_genome_relationship_alias
pocket on a	pocket on	visual_genome_relationship_alias
chair at	chair at	visual_genome_relationship_alias
chair at a	chair at	visual_genome_relationship_alias
picks up	picks up	visual_genome_relationship_alias
picks up a	picks up	visual_genome_relationship_alias
box sitting on	box sitting on	visual_genome_relationship_alias
box sitting on a	box sitting on	visual_genome_relationship_alias
walking away carrying	walking away carrying	visual_genome_relationship_alias
walking away carrying a	walking away carrying	visual_genome_relationship_alias
rear frame has	rear frame has	visual_genome_relationship_alias
rear frame has a	rear frame has	visual_genome_relationship_alias
barrier between	barrier between	visual_genome_relationship_alias
a barrier between	barrier between	visual_genome_relationship_alias
watching	watching	visual_genome_relationship_alias
watching a	watching	visual_genome_relationship_alias
watching the	watching	visual_genome_relationship_alias
are watching	watching	visual_genome_relationship_alias
are watching a	watching	visual_genome_relationship_alias
watching an	watching	visual_genome_relationship_alias
is watching	watching	visual_genome_relationship_alias
is watching the	watching	visual_genome_relationship_alias
wing of	wing of	visual_genome_relationship_alias
wing of an	wing of	visual_genome_relationship_alias
dressed for	dressed for	visual_genome_relationship_alias
dressed for a	dressed for	visual_genome_relationship_alias
clipped to	clipped to	visual_genome_relationship_alias
clipped to a	clipped to	visual_genome_relationship_alias
are clipped to	clipped to	visual_genome_relationship_alias
in put up in	in put up in	visual_genome_relationship_alias
in put up in a	in put up in	visual_genome_relationship_alias
sipping	sipping	visual_genome_relationship_alias
are sipping	sipping	visual_genome_relationship_alias
leashed	leashed	visual_genome_relationship_alias
are leashed	leashed	visual_genome_relationship_alias
american flag hanging from	american flag hanging from	visual_genome_relationship_alias
american flag hanging from a	american flag hanging from	visual_genome_relationship_alias
paddling on	paddling on	visual_genome_relationship_alias
paddling on a	paddling on	visual_genome_relationship_alias
and awards on	and awards on	visual_genome_relationship_alias
and awards on a	and awards on	visual_genome_relationship_alias
that throwing	that throwing	visual_genome_relationship_alias
that throwing a	that throwing	visual_genome_relationship_alias
wings have	wings have	visual_genome_relationship_alias
wings have a	wings have	visual_genome_relationship_alias
gray	gray	visual_genome_relationship_alias
are gray	gray	visual_genome_relationship_alias
a gray	gray	visual_genome_relationship_alias
relaxing with	relaxing with	visual_genome_relationship_alias
relaxing with a	relaxing with	visual_genome_relationship_alias
dressed as	dressed as	visual_genome_relationship_alias
dressed as a	dressed as	visual_genome_relationship_alias
ready to eat	ready to eat	visual_genome_relationship_alias
ready to eat a	ready to eat	visual_genome_relationship_alias
giraffes behind	giraffes behind	visual_genome_relationship_alias
giraffes behind a	giraffes behind	visual_genome_relationship_alias
broken on	broken on	visual_genome_relationship_alias
are broken on	broken on	visual_genome_relationship_alias
h	h	visual_genome_relationship_alias
are h	h	visual_genome_relationship_alias
at a summer	at a summer	visual_genome_relationship_alias
are at a summer	at a summer	visual_genome_relationship_alias
walking along	walking along	visual_genome_relationship_alias
are walking along	walking along	visual_genome_relationship_alias
walking along a	walking along	visual_genome_relationship_alias
fixes	fixes	visual_genome_relationship_alias
fixes a	fixes	visual_genome_relationship_alias
calling	calling	visual_genome_relationship_alias
calling a	calling	visual_genome_relationship_alias
and child on	and child on	visual_genome_relationship_alias
and child on a	and child on	visual_genome_relationship_alias
flying by	flying by	visual_genome_relationship_alias
flying by an	flying by	visual_genome_relationship_alias
flying by a	flying by	visual_genome_relationship_alias
enjoying their	enjoying their	visual_genome_relationship_alias
are enjoying their	enjoying their	visual_genome_relationship_alias
hooked on	hooked on	visual_genome_relationship_alias
are hooked on	hooked on	visual_genome_relationship_alias
used on	used on	visual_genome_relationship_alias
are used on	used on	visual_genome_relationship_alias
used on a	used on	visual_genome_relationship_alias
in from of	in from of	visual_genome_relationship_alias
in from of a	in from of	visual_genome_relationship_alias
hand of	hand of	visual_genome_relationship_alias
hand of a	hand of	visual_genome_relationship_alias
panted on	panted on	visual_genome_relationship_alias
panted on a	panted on	visual_genome_relationship_alias
panted on the	panted on	visual_genome_relationship_alias
hanging from computer	hanging from computer	visual_genome_relationship_alias
are hanging from computer	hanging from computer	visual_genome_relationship_alias
spotted	spotted	visual_genome_relationship_alias
a spotted	spotted	visual_genome_relationship_alias
attatched to	attatched to	visual_genome_relationship_alias
attatched to a	attatched to	visual_genome_relationship_alias
paved with	paved with	visual_genome_relationship_alias
is paved with	paved with	visual_genome_relationship_alias
eaten by	eaten by	visual_genome_relationship_alias
eaten by a	eaten by	visual_genome_relationship_alias
herding	herding	visual_genome_relationship_alias
are herding	herding	visual_genome_relationship_alias
waiting beside	waiting beside	visual_genome_relationship_alias
waiting beside a	waiting beside	visual_genome_relationship_alias
leashed to	leashed to	visual_genome_relationship_alias
leashed to a	leashed to	visual_genome_relationship_alias
jumping to catch	jumping to catch	visual_genome_relationship_alias
jumping to catch a	jumping to catch	visual_genome_relationship_alias
spoon and knife on	spoon and knife on	visual_genome_relationship_alias
spoon and knife on a	spoon and knife on	visual_genome_relationship_alias
plastic bag next to	plastic bag next to	visual_genome_relationship_alias
plastic bag next to a	plastic bag next to	visual_genome_relationship_alias
piled under	piled under	visual_genome_relationship_alias
are piled under	piled under	visual_genome_relationship_alias
ladys eyes	ladys eyes	visual_genome_relationship_alias
ladys eyes are	ladys eyes	visual_genome_relationship_alias
has over it	has over it	visual_genome_relationship_alias
has over it a	has over it	visual_genome_relationship_alias
glass of water	glass of water	visual_genome_relationship_alias
a glass of water	glass of water	visual_genome_relationship_alias
running on to	running on to	visual_genome_relationship_alias
running on to the	running on to	visual_genome_relationship_alias
house cat watches	house cat watches	visual_genome_relationship_alias
house cat watches a	house cat watches	visual_genome_relationship_alias
animal on tv	animal on tv	visual_genome_relationship_alias
animal on tv a	animal on tv	visual_genome_relationship_alias
resting against	resting against	visual_genome_relationship_alias
resting against a	resting against	visual_genome_relationship_alias
bouncing	bouncing	visual_genome_relationship_alias
bouncing a	bouncing	visual_genome_relationship_alias
on right side of	on right side of	visual_genome_relationship_alias
are on right side of	on right side of	visual_genome_relationship_alias
draped around	draped around	visual_genome_relationship_alias
are draped around	draped around	visual_genome_relationship_alias
cloudless	cloudless	visual_genome_relationship_alias
are cloudless	cloudless	visual_genome_relationship_alias
of papers on corner of	of papers on corner of	visual_genome_relationship_alias
of papers on corner of a	of papers on corner of	visual_genome_relationship_alias
bunch	bunch	visual_genome_relationship_alias
a bunch	bunch	visual_genome_relationship_alias
showing behind	showing behind	visual_genome_relationship_alias
are showing behind	showing behind	visual_genome_relationship_alias
person doing	person doing	visual_genome_relationship_alias
person doing a	person doing	visual_genome_relationship_alias
