term	count	synsets	alias_group
curving over front of	1	over.r.01	
taking pictures of an	1		taking pictures of
is from	1	be.v.01	from
dug next to	1	grok.v.01	
has glowing	1		
working as	1		
closed by	1	close.v.01	
raing a	1		raing
strung in	1	in.r.01	
maintaining balance in	1		
balacing holding	1		
on paddle	1		
licking another	1		
plugged into the	1	punch.v.01	plugged into
wearin	1		
made with a	1		made with
spreagin	1		
is sitting in a	1		sitting in
doing a skateboard	1	make.v.01	
are lapping at	1		lapping at
scattered near	1	about.r.07	
with plaid	1		
woman riding an	1		woman riding
biting h	1	be.v.01	
watching a freebie	1	watch.v.01	
at a girls	1		
on or wide	1	be.v.01	
extending out of	1	run.v.03	
lowered on	1	along.r.01	lowered on
caress	1	caress.v.01	
rolling up a	1		rolling up
wearing a christmas	1	wear.v.01	
peeling from	1	undress.v.01	
coming down on	1	arrive.v.01	
in a suit using a gray	1		
ready to mount	1		
in and around	1	approximately.r.01	
has roman numerals in	1	have.v.01	
painted on front of	1	along.r.01	
twenty	1		
representing number on	1		
wearing a blue jacket and	1		
an ocean	1		ocean
collide	1	collide.v.03	
he underside of surfboard	1		
racket in middle of	1		
in outdoor	1	in.r.01	
on left hand of	1		
on right hand of	1		
must clear th	1	gain.v.08	
structured inside	1		
capture on	1	along.r.01	
performing a trick on a	1	perform.v.01	performing a trick on
walking with a skateboard in	1	walk.v.01	
can in a	1	in.r.01	can in
in animals	1	in.r.01	
clump of	1	cluster.v.01	
ripping through	1	rend.v.01	
connecting sides of	1	associate.v.01	
right side front of	1	be.v.01	
bounces off	1		
in a child	1	in.r.01	
shanking hands with	1	pass.v.05	
rubbed on	1	along.r.01	
a stalk of	1		stalk of
in food	1		
in mood right nowhold leg in air for no	1		
im also holding my leg in air for no	1		
leg its under th	1		
growing from a	1	turn.v.07	growing from
horizontal on	1	along.r.01	
used to flush	1		
in cow	1		
of cow that	1		
propped up on head	1		
beyond rows of	1		
mounts	1		
hoisting	1	hoist.v.01	
white coffee mug on a	1		white coffee mug on
cooked into	1		
egg yolk	1		
pier posts in	1		
bare tree in	1		
large aircraft on a	1		large aircraft on
white stripe on traffic	1		
orange stripe on traffic	1		
by exit of	1		
small black wheel under	1		
orange and white striped	1		
running out to an	1		running out to
front windows of an	1		front windows of
wheel of an	1		wheel of
small brush in a	1		small brush in
pulled by a	1		pulled by
person carrying a	1		person carrying
long yellow	1		
white long	1		
dark background	1		
bag being	1		
pulling a travelling	1		
commercial jet parked on a	1		commercial jet parked on
walking away from a	1		walking away from
cow being	1		
fruit and vegetable	1		
brownish yellow	1		
big head of	1		
bowl has a red	1		
brown wooden drawer in	1		
back wheel	1	back.r.01	
spread out of	1	spread.v.01	
on torso of	1		on torso of
on icecream	1	along.r.01	
rolling on a	1	along.r.01	rolling on
with curled under	1	curl.v.01	
extended front	1	run.v.03	
right before	1	earlier.r.01	
fat on edge of	1		
license plate on a	1		license plate on
a sidewalk	1		sidewalk
came from	1		
running up a	1	run.v.01	running up
dodging	1	hedge.v.01	
lit for	1	light.v.01	
shred	1	shred.v.01	
snowboarding a	1		snowboarding
parked in middle of a rural	1		
front black wheel on	1		
firemans logo on truck	1		
rocky hill in	1		
and blue sky over	1		
truck tire with red	1		
light on a red	1		
in bottom lower left of	1		
on bun covered in	1	along.r.01	
of milk in	1	in.r.01	
cut out on top of	1	reduce.v.01	
of people on	1	along.r.01	of people on
completely free of	1		
bottom sole of his flip	1		
walking with surfboard on h	1	walk.v.01	
going in and	1		
candle holder on	1		
skin on a	1		skin on
starring in	1	in.r.01	
itches	1	rub.v.03	
ties together	1	together.r.01	
weaves through	1		
of action	1	carry_through.v.01	
has a purple	1	have.v.01	
replacement roll on	1	be.v.01	
sticks out behind	1	stay.v.02	
over dogs	1	be.v.01	
and black ear of	1		
laying down on purple	1		
pizza in an	1		pizza in
cheese on a supreme	1		
of pizza in	1		
on a pizza	1		
colored carpet on	1		
tire of parked	1		
bumper of parked	1		
a light blue boat	1		light blue boat
a tailgate	1		tailgate
photo was taken with a telephoto	1		
a window that visible	1		window that visible
on back sof	1		
partially grown	1	turn.v.07	
signing papers at	1	sign.v.02	
standing right of a	1	stand.v.01	standing right of
are parked left of	1	be.v.01	parked left of
blocking shot of	1	shoot.v.01	
battle for	1	battle.v.01	
in tray on	1	along.r.01	
part of black and yellow ten	1	depart.v.03	
in a grey	1		
adverted on	1	be.v.01	
aboparked in	1	in.r.01	
crouched behind t	1	be.v.01	
singing a bat at a	1	sing.v.01	singing a bat at
clear and blue	1		
small and green	1		
patch of dry	1		
big grey	1		
shrub with barely any	1		
raising up	1	up.r.01	
to right of person	1	properly.r.01	
around eye of	1	approximately.r.01	
smeared around	1	approximately.r.01	
near engine at back of	1		
from sun underneath	1		
on pole inside	1		
tied to beach with	1		
of shaving cream on	1	along.r.01	
with a hooded	1		
cover hill in	1	traverse.v.01	
light tan	1	light.v.01	
deep tracks in	1	traverse.v.01	
rash guard on	1		
leash from	1		
fin on	1		
white surf	1		
length white	1		
leash of	1		
holding surf	1		
sky clear and	1		
and pink wet	1		
nas	1		
on a top of	1	along.r.01	
of fork and	1		
are watching for	1		watching for
enclosed behind	1	be.v.01	
watch on h	1	watch.v.01	
catching frisbee by	1	watch.v.03	
wearing a blue hospital	1		
blue ball	1		
in a tank	1		
stertched out on	1		
sitting in chairs under	1	sit.v.01	
in orange on	1	along.r.01	
walking together	1	walk.v.01	
around side of	1	approximately.r.01	
sit in front of a	1		sit in front of
squatting down beside	1		
baseball catcher on a	1		baseball catcher on
baseball player leaning on a	1		baseball player leaning on
railing alongside a	1		railing alongside
advertisement for	1		
apples next to each	1		
small dead	1		
behind an apple	1		
up view of an apple	1		
riding short	1	depend_on.v.01	
surfing shirt	1	shirt.v.01	
twisisting for	1		
in warm	1	in.r.01	
twisiting for	1		
get off and on	1	get_down.v.07	
popped on	1		
cropped on	1	along.r.01	
livening up	1		
fences a	1	argue.v.02	fences
line back of	1	back.r.01	
walking to right of	1	walk.v.01	
park alongside	1	park.v.01	
lining edge of a	1	trace.v.02	lining edge of
draped behind a	1		draped behind
make a triangle	1		
in front of two	1		
hands bag of	1		
purchases	1		
moves down	1		
are at an outdoor	1		at an outdoor
faces onto	1	confront.v.02	
riding low to	1	depend_on.v.01	
creating by	1		
parked on one side of	1	along.r.01	
color matches	1		
on a zebras	1		
grazing on yellow	1		
that is at a	1		that is at
limit sign by	1		
signal on a	1		signal on
open blue	1		
open white	1		
sitting with black	1		
gared at	1		
banner on	1	along.r.01	banner on
hand near	1	about.r.07	
walking by wearing	1		walking by wearing
walking by wearing a	1		walking by wearing
are walking past a	1		walking past
embracing h	1		
up high in a	1		up high in
red and yellow train	1		
power plant in	1		
yellow blue and red	1		
trotting in front of	1	in.r.01	
of a pitchers	1		
in roof of	1		
waddles in	1	in.r.01	
to left on	1	leave.v.01	
on front on	1	along.r.01	
lined up down	1	down.r.01	
pose for picture in	1		
leaning arm on	1		
contaminating	1		
running along back of	1		
behind canadian	1		
crouching to receive	1	experience.v.03	
doesnt wear	1		
white pantry	1		
metal mixer under a	1		metal mixer under
door knob on a pantry	1		
cupboard above a	1		cupboard above
blue heart shape	1		
advertising the business in the	1		advertising the business in
to enter the	1		to enter
for the business in this	1		
sign says mercedes	1		
player leaps into air to	1		
surface ten	1		
stretches and leaps to serve high	1		
person holding a ten	1		
person swinging a	1		person swinging
front leg of an	1		front leg of
hind leg of an	1		hind leg of
made from logs and	1		
sprayed out by	1		
walkiing through	1		
has two small	1		
spraying water into	1		
cracked	1		
huge traffic jam congesting	1		
of a grimacing	1		
hand touching h	1		
and arm of woman wearing	1		
wearing a ball	1	wear.v.01	
stalking something in	1		
in a distance of	1		
ambles through	1		
are visible in front and behind	1		visible in front and behind
grows in center of	1		
folded on bottom of	1		
with parking underneath on	1		
rims	1		
attempting to brush	1		
to store	1		
by waters	1		
object flying in	1		
tossed out to	1		
on stand in front of	1	stand.v.01	
are in some	1		in some
connecting other	1		
taking a walk around	1		
leaned up against a	1	up.r.01	leaned up against
celebrates	1		
which matches h	1	match.v.01	
levitating with a	1		levitating with
levitating with an	1		levitating with
above store	1		
statues lined up behind	1		
n a	1		n
with tagged	1	chase.v.01	
riding up	1	up.r.01	
turning off a	1	become.v.02	turning off
maneuver through	1		
suit worn by	1		
and gray ocean	1		
skateboarding in front of	1		
rolling in at	1	roll.v.12	
and standing	1	stand.v.01	
up a ramp	1		
on an oven	1	along.r.01	
eating through	1	eat.v.01	
red like th one	1	be.v.01	
stopped near a	1	about.r.07	stopped near
creeping on	1	along.r.01	creeping on
molds	1		
near boat	1		
s visible on	1		
in frotn of	1		
keeping balance on	1	keep.v.01	
that is on a	1		that is on
looking at a dplay of several	1		
rolled on a	1		rolled on
of studio who took	1		
a sponsor of	1		sponsor of
puckering	1		
glass of	1		
sanding under	1		
on fur of	1		
spilling out a	1		spilling out
ear of a polar	1		
eye of a polar	1		
mouth of a polar	1		
full of a	1		full of
stand under a	1		stand under
carried above	1		
zipped up on	1		
all over around	1		
shaped in form of	1		
strapped in to	1		
waiting to board a	1		waiting to board
being passed to	1	be.v.01	
mounted toilet paper	1	climb.v.01	
for computer turned	1		
stretching from h	1		
was left open on	1	be.v.01	
looks at one	1	look.v.02	
sits on h	1	sit.v.01	
looks out of an	1	look.v.02	looks out of
has fur thats	1	have.v.01	
was left	1	be.v.01	
th on	1	be.v.01	
below each	1		
using two	1		
old looking	1	look.v.02	
squatting behind a	1		squatting behind
with short brown hair sitting at	1		
filled with salad	1		
and white print	1		
in mirror of blue	1		
at right side of	1		
shak	1		
forming on surface of	1	along.r.01	
running on side of	1	run.v.01	
monitors	1		
hitting up	1		
with hands in h	1		
of door	1	be.v.01	
wearing a bracele	1	be.v.01	
wearing a ring	1	be.v.01	
sandals	1		
about to get caught by	1		
background of	1		
being driven by	1		
have grown in	1		
on top of face of	1		
that overlooks a	1		that overlooks
remains on the	1		remains on
is looking down towards	1		looking down towards
that is	1		that
area is	1		area
is skiing with her	1		skiing with her
woman wears	1		
emanating	1		
shown using	1		
talking through	1		
right hand holding a	1		right hand holding
left hand holding a	1		left hand holding
seated wearing a blue	1		
holding a glass and a	1		holding a glass and
y	1		
holding hand	1		
with his hand	1		
horse next to a white	1		
with costume on	1		
for traveling	1		
near troupe	1		
folded on foot of	1		
to hit a	1		to hit
are being held in	1		being held in
a tree in	1		tree in
a side	1		side
bench behind	1		
preparing to cut	1		
emitted by	1	by.r.01	
of daytime	1		
skyline on	1		
under plane	1		
worker in neon	1		
trailer on	1		
ramp for	1		
flat chimney on	1		
element on	1		
element under	1		
over construction	1		
walking to or side of	1		
for crashing	1		
dry grass	1		
holding front of	1		
napping	1		
wiener in a	1		wiener in
holding a hot	1		
holding a wiener in a	1		holding a wiener in
woman holding a wiener in a	1		woman holding a wiener in
in blue holding a	1		in blue holding
cover his entire	1		
color brown with	1		
with its rear end to camera and yellow boxes on	1		
yellow and black closed box on a	1		yellow and black closed box on
paved curved	1		
man in a black shirt talking on	1		
seated next to	1		
in between girls	1		
of perfume on a	1		of perfume on
reflected onto	1		
rosing	1		
held up to her	1		
on forehead of	1		
ripped up from	1		
laying on front of	1	put.v.01	laying on front of
kept under	1		
chopped off	1	away.r.01	
window has an arch around	1		
clock next to	1		
building made out of	1		
building has a clock on	1		
clock has roman numerals on	1		
window made out of	1		
under neath of	1		
wrapped around corner of	1		
has a pedestrian	1		
toss	1		
slumped in	1		
orange light of a	1		orange light of
wiper of a	1		wiper of
fore screen of a	1		fore screen of
with passengers on	1		
on pole on	1		
windshield very	1		
wipers are on	1		
sky overcast and	1		
coach on its way to	1		
bus on its way to	1		
bus going to	1		
coach heading to	1		
sitting on red	1		
resting on another	1		
in lobe of	1		
shirt black in	1		
wearing a black and purple	1		
with purple cropped	1		
with her mouth	1		
gun in a	1	in.r.01	gun in
surfing in front of	1		
surfing ahead of	1		
by a man	1	by.r.01	
on underside of a	1		on underside of
are adjacent to	1		adjacent to
hangs inside	1		
of strawberries propped	1		
written over	1		
is covered of	1		covered of
left ear of	1		
man has a	1		man has
womans jacket	1		
womans bag	1		
getting with	1		
marked with white	1		
directors	1		
and white beach	1		
and white lounge	1		
beach side	1		
ontop of	1		
standing close to a	1		standing close to
are on the edge of a	1		on the edge of
down by his	1		
ready to field	1		
fielding	1		
indentifying	1		
outlining a	1		outlining
shooting up from	1	up.r.01	
about to come	1		
twenty eight on players	1		
black round	1		
laid into	1		
landing on the	1		landing on
in crosswalk	1	in.r.01	
a taxi on	1	be.v.01	taxi on
standing with their	1		
on are next to	1		
of skateboarder jumping on	1		
lying on h	1		
beanth	1		
foot up against	1		
tree by	1		
stone of a	1		stone of
standing on back of a	1		standing on back of
covered by h	1		
hiding a	1		hiding
sitting down on side of	1		
working by	1		
trotting through	1		
lit up from	1		
entering into	1		
further back then other	1		
getting clean in	1		
has a drivers	1	have.v.01	
runs along beside a	1	run.v.01	runs along beside
balance with	1		
does tricks on	1		
standing besides a	1		standing besides
rests its	1		
leaning down towards	1		
in wall	1		
weird looking	1		
tray behind	1		
receipt under	1		
a cement	1		cement
in foreground holding	1		
black decker	1		
metal toaster oven	1		
toaster oven	1		
glass viewing	1		
green led	1		
toaster	1		
and gray digital	1		
black and grey toaster	1		
glass cover on a toaster	1		
grey pause	1		
herb on a	1		herb on
metal fire	1		
a with blue	1		with blue
area of ground with	1		
during twilight	1		
collides with	1		
red ten	1		
tennis player swinging a	1		tennis player swinging
white shirt on a	1		white shirt on
in white swings at a ten	1		
tennis racket about to hit a	1		tennis racket about to hit
waiting with h	1		
nestled between trees and	1		
hanging a	1		hanging
throwing items into	1		
sitting at the	1		sitting at
spilling off	1	away.r.01	
across horses	1		
that houses a	1		that houses
of player on	1		
drawn in chocolate on	1		
written in chocolate on a	1		written in chocolate on
drawn with	1		
of latte has upside down	1		
of latte on a	1		of latte on
on sie of	1	be.v.01	
getting air on h	1	get_down.v.07	
doing tricks on h	1	make.v.01	
patches throught	1	patch.v.01	
with panting	1		
of a yellow	1		
cloud of	1		
gray colored	1		
person in blue with a shopping	1		
front of a black	1		
traffic signal	1		
crosswalk in	1		
back of a white	1		
with background of	1		
are next	1	be.v.01	next
looking to cross	1		
in sand holding a	1		in sand holding
with sand and	1		
blossomed pink	1		
on a rose	1		
on a thorn	1		
horn stems on rose	1		
red and blue flower	1		
airplane flying in blue	1		
commercial airline plane flying in	1		
rose has fully	1		
rose color	1		
stems are color	1		
stems of a	1		stems of
used to transport	1		
is behind the	1		behind
are standing in front of	1		standing in front of
a raft with people in	1		raft with people in
a brick	1		brick
a paddle	1		paddle
